model,variant,horizon,rel_wis
USC-SIkJalpha,delta dominant,3,1.3026380871751162
epiforecasts-EpiExpert,delta dominant,3,1.1587605181528402
epiforecasts-EpiExpert_Rt,delta dominant,3,2.236975034898814
epiforecasts-EpiExpert_direct,delta dominant,3,1.2460817567468758
epiforecasts-EpiNow2,delta dominant,3,1.3555247934686059
itwm-dSEIR,delta dominant,3,1.8043893016623187
EuroCOVIDhub-baseline,delta dominant,2,2.589882139206702
EuroCOVIDhub-ensemble,delta dominant,2,1
FIAS_FZJ-Epi1Ger,delta dominant,2,2.0927632249928956
HZI-AgeExtendedSEIR,delta dominant,2,0.9416648199843207
ICM-agentModel,delta dominant,2,3.0404361164706497
IEM_Health-CovidProject,delta dominant,2,1.5848669871550634
ILM-EKF,delta dominant,2,1.1634992746725286
ITWW-county_repro,delta dominant,2,1.1952490430005114
Karlen-pypm,delta dominant,2,1.3088389266261515
LANL-GrowthRate,delta dominant,2,1.5204675309125515
MIMUW-StochSEIR,delta dominant,2,0.4932541580104494
MIT_CovidAnalytics-DELPHI,delta dominant,2,1.449366202360249
MOCOS-agent1,delta dominant,2,0.9190033602159033
MUNI-ARIMA,delta dominant,2,1.761886690290318
MUNI-LaggedRegARIMA,delta dominant,2,1.151739375481281
MUNI-VAR,delta dominant,2,1.207012277621665
MUNI_DMS-SEIAR,delta dominant,2,1.6818008966463536
RobertWalraven-ESG,delta dominant,2,1.8883951467901572
UB-BSLCoV,delta dominant,2,1.6583479412806141
ULZF-SEIRC19SI,delta dominant,2,1.7009325077007256
UMass-MechBayes,delta dominant,2,1.0826339741581246
UMass-SemiMech,delta dominant,2,1.131621974051773
UNED-PreCoV2,delta dominant,2,2.1169799060550254
USC-SIkJalpha,delta dominant,2,1.2930379785005603
epiforecasts-EpiExpert,delta dominant,2,1.2972414464487358
epiforecasts-EpiExpert_Rt,delta dominant,2,2.238384438454377
epiforecasts-EpiExpert_direct,delta dominant,2,1.1773189364068668
epiforecasts-EpiNow2,delta dominant,2,1.3431296419985277
itwm-dSEIR,delta dominant,2,1.4497194485300156
EuroCOVIDhub-baseline,delta dominant,1,1.6930447002398936
EuroCOVIDhub-ensemble,delta dominant,1,1
FIAS_FZJ-Epi1Ger,delta dominant,1,1.8299812492334981
HZI-AgeExtendedSEIR,delta dominant,1,1.0182138950298631
ICM-agentModel,delta dominant,1,3.6289624075600817
IEM_Health-CovidProject,delta dominant,1,1.36161478640658
ILM-EKF,delta dominant,1,1.2849312242674802
ITWW-county_repro,delta dominant,1,1.044712155154909
Imperial-DeCa,delta dominant,1,1.4091951789216648
Imperial-RtI0,delta dominant,1,2.0401288837301776
Imperial-sbkp,delta dominant,1,1.622994342715181
Karlen-pypm,delta dominant,1,1.3064013079378638
LANL-GrowthRate,delta dominant,1,1.433035783566242
MIMUW-StochSEIR,delta dominant,1,1.8327025370582122
MIT_CovidAnalytics-DELPHI,delta dominant,1,1.6177835170874513
MOCOS-agent1,delta dominant,1,1.0364032010425634
MUNI-ARIMA,delta dominant,1,1.3474757481289121
MUNI-LaggedRegARIMA,delta dominant,1,1.2836660928186165
MUNI-VAR,delta dominant,1,1.2040259071472994
MUNI_DMS-SEIAR,delta dominant,1,2.2170613198368474
RobertWalraven-ESG,delta dominant,1,1.6130698653682856
UB-BSLCoV,delta dominant,1,1.1002103762332254
ULZF-SEIRC19SI,delta dominant,1,1.514041359195308
UMass-MechBayes,delta dominant,1,1.1732462045281844
UMass-SemiMech,delta dominant,1,1.268638045824785
UNED-PreCoV2,delta dominant,1,1.965824526783675
USC-SIkJalpha,delta dominant,1,1.3083550824969867
epiforecasts-EpiExpert,delta dominant,1,1.489293626535261
epiforecasts-EpiExpert_Rt,delta dominant,1,2.8202089656079177
epiforecasts-EpiExpert_direct,delta dominant,1,1.0391859201318028
epiforecasts-EpiNow2,delta dominant,1,1.3911764828451112
itwm-dSEIR,delta dominant,1,1.4716245033371478
EuroCOVIDhub-baseline,omicron intro,4,1.4845532765375873
EuroCOVIDhub-ensemble,omicron intro,4,1
FIAS_FZJ-Epi1Ger,omicron intro,4,1.1459052611420366
HZI-AgeExtendedSEIR,omicron intro,4,1.3160978989501069
ICM-agentModel,omicron intro,4,0.8814086891333919
IEM_Health-CovidProject,omicron intro,4,2.5904872897864277
ILM-EKF,omicron intro,4,1.377039424150069
ITWW-county_repro,omicron intro,4,1.241946446213385
Karlen-pypm,omicron intro,4,1.245721541271084
LANL-GrowthRate,omicron intro,4,1.9625667615105014
MIT_CovidAnalytics-DELPHI,omicron intro,4,1.3518165442347347
MOCOS-agent1,omicron intro,4,2.5023715762385903
MUNI-ARIMA,omicron intro,4,1.5830713017476408
MUNI-LaggedRegARIMA,omicron intro,4,0.8784302020922478
MUNI-VAR,omicron intro,4,1.9301160847928858
MUNI_DMS-SEIAR,omicron intro,4,0.4216942649121565
RobertWalraven-ESG,omicron intro,4,1.5686906660142477
ULZF-SEIRC19SI,omicron intro,4,1.223953391864144
UMass-MechBayes,omicron intro,4,1.149313741976249
UMass-SemiMech,omicron intro,4,0.8085155489722795
USC-SIkJalpha,omicron intro,4,1.3072881144021566
epiforecasts-EpiNow2,omicron intro,4,1.273583313933357
itwm-dSEIR,omicron intro,4,1.0172069590336184
EuroCOVIDhub-baseline,omicron intro,3,1.8429362960242437
EuroCOVIDhub-ensemble,omicron intro,3,1
FIAS_FZJ-Epi1Ger,omicron intro,3,0.1741711751601373
HZI-AgeExtendedSEIR,omicron intro,3,2.092041074298021
ICM-agentModel,omicron intro,3,0.31262626238462005
IEM_Health-CovidProject,omicron intro,3,2.2537432848410237
ILM-EKF,omicron intro,3,1.1249492096612848
ITWW-county_repro,omicron intro,3,0.8541776877768655
Karlen-pypm,omicron intro,3,1.1547056995966942
LANL-GrowthRate,omicron intro,3,1.780240969252236
MIT_CovidAnalytics-DELPHI,omicron intro,3,1.2982436155415273
MOCOS-agent1,omicron intro,3,1.8162090621119078
MUNI-ARIMA,omicron intro,3,1.6941173993990801
MUNI-LaggedRegARIMA,omicron intro,3,0.7286257610452093
